#                                                  !
#                                                  !
#                                                  !
#                                                  !
                                                   !
                                                   !
                                                   !
          #######                                  !
                                                   !
                                                   !
               ########################            !
        #######                                    !
                                                   !
                                                   !
               #######                             !
    _________                                      !
                                                   !
_______                                            !
                                                   !
                                                   !
                                                   !
////////////////////////////////////////////////////                                                   
#                                                  !
#                                                  !
#                                                  !
#                                                  !
                                                   !
                                                   !
                                                   !
          #######                                  !
                                                   !
                                                   !
               ########################            !
        #######                                    !
                                                   !
                                                   !
               #######                             !
    _________                                      !
                                                   !
_______                                            !
                                                   !
                                                   !
                                                   /
